,precision,recall,f1-score,support
0,0.0,0.0,0.0,5.0
1,0.0,0.0,0.0,3.0
2,0.1111111111111111,1.0,0.19999999999999998,11.0
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,8.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,6.0
7,0.0,0.0,0.0,8.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,3.0
10,0.0,0.0,0.0,5.0
11,0.0,0.0,0.0,8.0
12,0.0,0.0,0.0,6.0
13,0.0,0.0,0.0,6.0
14,0.0,0.0,0.0,6.0
15,0.0,0.0,0.0,2.0
16,0.0,0.0,0.0,1.0
17,0.0,0.0,0.0,3.0
18,0.0,0.0,0.0,5.0
19,0.0,0.0,0.0,3.0
accuracy,0.11,0.11,0.11,0.11
macro avg,0.005555555555555555,0.05,0.009999999999999998,100.0
weighted avg,0.012222222222222221,0.11,0.022,100.0
